request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=48608&c-r-ot=H,c-t-id,48608,"ROSSER, LEWIS",c-t-eid,13009596,"ROSSER, LEWIS",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8698,"ASSEMBLY DISTRICT 052",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",86,37830.00
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102103&c-r-ot=H,c-t-id,102103,"RYBA, JOHN J",c-t-eid,6447654,"RYBA, JOHN J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8736,"ASSEMBLY DISTRICT 090",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",82,37321.36
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102122&c-r-ot=H,c-t-id,102122,"LASSA, JULIE M",c-t-eid,13009642,"LASSA, JULIE M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8717,"ASSEMBLY DISTRICT 071",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",209,37240.14
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102128&c-r-ot=H,c-t-id,102128,"LASEE, FRANK",c-t-eid,13009464,"LASEE, FRANK",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8648,"ASSEMBLY DISTRICT 002",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",167,36622.03
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102105&c-r-ot=H,c-t-id,102105,"WARD, DAVID W",c-t-eid,6588805,"WARD, DAVID W",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8683,"ASSEMBLY DISTRICT 037",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",76,36356.37
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102148&c-r-ot=H,c-t-id,102148,"SHERMAN, GARY E",c-t-eid,6567584,"SHERMAN, GARY E",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8720,"ASSEMBLY DISTRICT 074",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",150,36324.63
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102042&c-r-ot=H,c-t-id,102042,"MUSSER, TERRY M",c-t-eid,6588463,"MUSSER, TERRY M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8738,"ASSEMBLY DISTRICT 092",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",149,36176.74
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=48588&c-r-ot=H,c-t-id,48588,"SANDERS, THOMAS J",c-t-eid,13009475,"SANDERS, THOMAS J",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8651,"ASSEMBLY DISTRICT 005",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",171,35792.00
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102019&c-r-ot=H,c-t-id,102019,"SCHNEIDER, MARLIN D",c-t-eid,3298932,"SCHNEIDER, MARLIN D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8718,"ASSEMBLY DISTRICT 072",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",75,35742.76
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102055&c-r-ot=H,c-t-id,102055,"HUBLER, MARY",c-t-eid,2927449,"HUBLER, MARY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8721,"ASSEMBLY DISTRICT 075",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",50,35438.19
